明
吾	ゴ
あい	相
あいだ	間
あお	青
あか	赤
あかつき	暁
あき	秋
あさ	朝
あさ	麻
あざ	字
あし	脚
あし	足
あじ	味
あせ	汗
あたい	価
あたい	値
あたま	頭
あと	後
あと	跡
あな	穴
あに	兄
あね	姉
あぶら	油
あぶら	脂
あま	天
あま	尼
あま	雨
あみ	網
あめ	天
あめ	雨
あらし	嵐
あわ	泡
あん	行
い	井
いえ	家
いき	息
いき	粋
いく	幾
いくさ	戦
いけ	池
いし	石
いしずえ	礎
いずみ	泉
いた	板
いただき	頂
いち	市
いつ	五
いと	糸
いな	否
いな	稲
いぬ	犬
いね	稲
いのち	命
いばら	茨
いま	今
いも	芋
いもうと	妹
いや	嫌
いろ	色
いわ	岩
う	卯
うい	初
うえ	上
うお	魚
うし	丑
うし	牛
うじ	氏
うず	渦
うた	歌
うたい	謡
うち	内
うつわ	器
うで	腕
うね	畝
うぶ	産
うま	馬
うみ	海
うめ	梅
うら	浦
うら	裏
うるし	漆
うわ	上
え	柄
え	江
え	重
えだ	枝
えり	襟
お	小
お	尾
お	緒
お	雄
おうぎ	扇
おお	大
おおやけ	公
おか	丘
おか	岡
おき	沖
おく	奥
おす	雄
おそれ	虞
おっと	夫
おと	音
おとうと	弟
おとこ	男
おに	鬼
おのおの	各
おのれ	己
おび	帯
おも	主
おも	面
おもて	表
おもて	面
おもむき	趣
おや	親
おり	折
おろし	卸
おん	御
おんな	女
か	日
か	蚊
か	香
か	鹿
かい	貝
かいこ	蚕
かお	顔
かかり	係
かかり	掛
かがみ	鏡
かき	垣
かげ	影
かげ	陰
かさ	傘
かざ	風
かしら	頭
かず	数
かぜ	風
かた	型
かた	形
かた	方
かた	潟
かた	片
かた	肩
かたき	敵
かたち	形
かたな	刀
かたまり	塊
かっ	合
かて	糧
かど	角
かど	門
かな	金
かなめ	要
かね	金
かね	鐘
かの	彼
かぶ	株
かべ	壁
かま	窯
かま	鎌
かみ	上
かみ	神
かみ	紙
かみ	髪
かみなり	雷
かめ	亀
から	唐
から	殻
から	空
からだ	体
かり	仮
かれ	彼
かわ	川
かわ	河
かわ	皮
かわ	革
かわら	瓦
かん	神
かんむり	冠
がら	柄
がわ	側
き	木
き	生
き	黄
きし	岸
きず	傷
きた	北
きぬ	絹
きば	牙
きみ	君
きも	肝
きり	霧
きわ	際
く	宮
くき	茎
くさ	草
くさり	鎖
くし	串
くじら	鯨
くすり	薬
くせ	癖
くだ	管
くち	口
くちびる	唇
くつ	靴
くに	国
くび	首
くま	熊
くみ	組
くも	雲
くら	倉
くら	蔵
くらい	位
くるま	車
くれない	紅
くろ	黒
くわ	桑
け	毛
けむり	煙
けもの	獣
こ	子
こ	小
こ	木
こ	粉
こ	黄
こい	恋
こう	神
こえ	声
こえ	肥
こおり	氷
ここの	九
こころ	心
こころざし	志
こし	腰
こと	事
こと	殊
こと	琴
こと	異
こと	言
