abura,油脂
ade,艶
ago,顎
ai,藍
aida,間
aji,味
aka,赤
akatsuki,暁
aki,秋
ame,雨
ami,網
ana,穴
ane,姉
ani,兄
arashi,嵐
asa,朝麻
ase,汗
ashi,足
atama,頭
ato,後跡
awa,泡
ba,場
bun,文
buta,豚
chi,血
chichi,乳父
chikara,力
dai,大
dare,誰
donburi,丼
doro,泥
e,江
eda,枝
en,縁
eri,襟
esa,餌
fude,筆
fue,笛
fuji,藤
fukuro,袋
fumoto,麓
fune,船
fusa,房
fushi,節
futokoro,懐
fuyu,冬
gake,崖
gaku,額
gara,柄
ge,下
gen,言
go,五
ha,歯葉
haba,幅
hachi,八蜂
hada,肌
hadaka,裸
hagane,鋼
haha,母
hai,灰
haji,恥
haka,墓
hako,箱
hama,浜
hana,花鼻
hanashi,話
hane,羽
hara,原腹
hari,針
haru,春
hashi,橋端箸
hashira,柱
hata,旗
hatake,畑
hatsu,初
hayashi,林
hebi,蛇
hi,火灯
hidari,左
higashi,東
hiji,肘
hiki,匹
hima,暇
hime,姫
hiru,昼
hito,人
hitomi,瞳
hitsuji,羊
hiza,膝
ho,帆穂
hodo,程
hoho,頬
hoka,他
hone,骨
honoo,炎
hora,洞
hori,堀
hoshi,星
hotaru,蛍
hotoke,仏
hou,方
ichi,一
ie,家
ike,池
iki,息粋
iku,幾
ima,今
imo,芋
imouto,妹
ine,稲
inochi,命
inu,犬
iro,色
ishi,石
ishizue,礎
ita,板
itadaki,頂
ito,糸
iwa,岩
iya,否嫌
izumi,泉
ji,字
jou,常
juu,十
ka,蚊
kabe,壁
kabu,株
kado,角
kagami,鏡
kage,影陰
kagi,鍵
kago,籠
kakari,係
kaki,垣柿
kaku,各
kama,窯釜鎌
kame,亀
kami,神紙髪
kaminari,雷
kan,関
kane,金鐘
kanmuri,冠
kao,顔
kara,殻
karada,体
kare,彼
kari,仮
kasa,傘
kata,型肩
katachi,形
katamari,塊
katana,刀
kawa,川皮革
kawara,瓦
kaze,風
ke,毛
kemono,獣
kemuri,煙
ken,剣
ki,木黄
kimi,君
kimo,肝
kinu,絹
kiri,霧
kishi,岸
kita,北
kizu,傷
