a,亜
atsu,圧
iu,誘
iki,域
iku,育
kau,耗
kattsu,合
gattsu,合
gattsu,月
kiku,菊
kya,脚
gyuu,牛
gyoku,玉
kechi,結
getsu,月
sattsu,早
za,座
zattsu,雑
shyan,上
jika,直
jiku,軸
jittsu,十
jyuttsu,十
suku,粛
sun,寸
sechi,節
ze,是
tattsu,達
cha,茶
chan,荘
jyuu,住
te,稲
dei,泥
deki,条
nattsu,納
niku,肉
nichi,日
nya,若
nyaku,若
nu,怒
nei,寧
netsu,熱
hattsu,法
bachi,罰
hyaku,百
betsu,別
hoku,北
hottsu,法
botchi,伐
botts,坊
botsu,没
maa,麻
mitsu,密
myaku,脈
metsu,滅
rii,力
richi,律
ryaku,略
ryuku,働
re,列
rekki,歴
refu,猟
wai,賄
waku,惑
ai,愛哀
aku,悪握
ichi,一壱
otsu,越乙
kichi,吉詰
gyaku,逆虐
gin,銀吟
kotsu,骨滑
goku,極獄
shichi,七質
jiki,食直
jittsu,日実
jyuku,熟塾
jyutsu,術述
jyoku,辱濁
zui,随髄
se,世施
zetsu,絶舌
sotsu,卒率
daku,濁諾
datsu,奪脱
chitsu,秩窒
choku,直勅
tsuu,通痛
de,弟泥
totsu,凸突
don,曇鈍
na,南納
nai,内泥
nyo,女如
nyou,女尿
non,音暖
hachi,八鉢
ba,馬婆
byaku,白百
butsu,物仏
heki,壁癖
hotsu,発払
maku,幕膜
matsu,末抹
motsu,物没
ra,羅裸
riki,力働
riku,六陸
reki,歴暦
ron,乱論
wan,湾腕
un,雲運芸
o,悪和汚
oku,屋億憶
kitsu,吉喫詰
kyoku,局曲極
gyo,魚漁御
kuu,空宮供
kutsu,屈掘堀
gun,軍郡群
zan,残惨暫
shutsu,出卒率
ja,写蛇邪
suu,数崇枢
zei,説勢税
chaku,着著嫡
cho,貯著緒
tsu,子通都
tsui,対追墜
ton,団屯豚
doku,読毒独
nyuu,入乳柔
futsu,仏払沸
bei,米皿塀
min,明民眠
men,面綿免
mo,模畝茂
moku,木目黙
ya,夜野蛇
yui,由遺唯
ritsu,立率律
ryo,旅慮虜
ryoku,力緑働
ru,流路留
wa,話和把
an,行安暗案
itsu,一壱逸乙
etsu,悦謁越閲
gaku,学楽額岳
kyaku,客格却脚
kun,君訓勲薫
guu,宮偶遇隅
gei,芸児迎鯨
geki,逆劇激撃
shiki,色式識織
shun,春俊瞬旬
jaku,弱着若寂
ta,多太他駄
bin,便貧敏瓶
fuu,風夫富封
bun,文分聞蚊
ben,勉面便弁
bon,犯煩凡盆
ma,摩磨魔麻
man,万満慢漫
mi,美味未魅
raku,楽落絡酪
rui,類塁涙累
ro,路虜炉露
ge,下夏外解戯
gon,金言勤権厳
zai,材在罪財剤
zu,手図頭事豆
zon,村孫損存尊
chiku,竹築畜蓄逐
tetsu,鉄哲徹撤迭
den,田電典伝殿
do,土度努奴怒
nan,男南難納軟
ha,波破派把覇
batsu,末伐罰抜閥
hitsu,筆必泌匹払
hin,品貧浜賓頻
hon,本反品奔翻
mai,米妹毎枚埋
myou,名明命苗妙
mon,文聞門問紋
yo,予余預与誉
yoku,浴欲翌抑翼
ran,乱卵覧欄濫
retsu,列律劣烈裂
ren,練連廉恋錬
roku,六緑働陸録
eki,駅役易液益疫
gyou,形行業仰凝暁
gu,工具求供愚虞
shuku,宿祝縮叔淑粛
zoku,族続財属俗賊
ni,二児仁泥尼弐
nen,年然念燃縁粘
hatsu,発鉢髪伐罰抜
bi,美鼻未備尾微
rai,来礼瀬頼雷塁
