あ,亜
あつ,圧
いう,誘
いき,域
いく,育
かう,耗
かっ,合
がっ,合
がつ,月
きく,菊
きゃ,脚
ぎゅう,牛
ぎょく,玉
けち,結
げつ,月
さっ,早
ざ,座
ざつ,雑
しゃん,上
じか,直
じく,軸
じっ,十
じゅっ,十
すく,粛
すん,寸
せち,節
ぜ,是
たつ,達
ちゃ,茶
ちゃん,荘
ぢゅう,住
て,稲
でい,泥
でき,条
なっ,納
にく,肉
にち,日
にゃ,若
にゃく,若
ぬ,怒
ねい,寧
ねつ,熱
はっ,法
ばち,罰
ひゃく,百
べつ,別
ほく,北
ほっ,法
ぼち,伐
ぼっ,坊
ぼつ,没
まあ,麻
みつ,密
みゃく,脈
めつ,滅
りい,力
りち,律
りゃく,略
りゅく,働
れ,列
れっき,歴
れふ,猟
わい,賄
わく,惑
あい,愛哀
あく,悪握
いち,一壱
おつ,越乙
きち,吉詰
ぎゃく,逆虐
ぎん,銀吟
こつ,骨滑
ごく,極獄
しち,七質
じき,食直
じつ,日実
じゅく,熟塾
じゅつ,術述
じょく,辱濁
ずい,随髄
せ,世施
ぜつ,絶舌
そつ,卒率
だく,濁諾
だつ,奪脱
ちつ,秩窒
ちょく,直勅
つう,通痛
で,弟泥
とつ,凸突
どん,曇鈍
な,南納
ない,内泥
にょ,女如
にょう,女尿
のん,音暖
はち,八鉢
ば,馬婆
びゃく,白百
ぶつ,物仏
へき,壁癖
ほつ,発払
まく,幕膜
まつ,末抹
もつ,物没
ら,羅裸
りき,力働
りく,六陸
れき,歴暦
ろん,乱論
わん,湾腕
うん,雲運芸
お,悪和汚
おく,屋億憶
きつ,吉喫詰
きょく,局曲極
ぎょ,魚漁御
くう,空宮供
くつ,屈掘堀
ぐん,軍郡群
ざん,残惨暫
しゅつ,出卒率
じゃ,写蛇邪
すう,数崇枢
ぜい,説勢税
ちゃく,着著嫡
ちょ,貯著緒
つ,子通都
つい,対追墜
とん,団屯豚
どく,読毒独
にゅう,入乳柔
ふつ,仏払沸
べい,米皿塀
みん,明民眠
めん,面綿免
も,模畝茂
もく,木目黙
や,夜野蛇
ゆい,由遺唯
りつ,立率律
りょ,旅慮虜
りょく,力緑働
る,流路留
わ,話和把
あん,行安暗案
いつ,一壱逸乙
えつ,悦謁越閲
がく,学楽額岳
きゃく,客格却脚
くん,君訓勲薫
ぐう,宮偶遇隅
げい,芸児迎鯨
げき,逆劇激撃
しき,色式識織
しゅん,春俊瞬旬
じゃく,弱着若寂
た,多太他駄
びん,便貧敏瓶
ふう,風夫富封
ぶん,文分聞蚊
べん,勉面便弁
ぼん,犯煩凡盆
ま,摩磨魔麻
まん,万満慢漫
み,美味未魅
らく,楽落絡酪
るい,類塁涙累
ろ,路虜炉露
げ,下夏外解戯
ごん,金言勤権厳
ざい,材在罪財剤
ず,手図頭事豆
ぞん,村孫損存尊
ちく,竹築畜蓄逐
てつ,鉄哲徹撤迭
でん,田電典伝殿
ど,土度努奴怒
なん,男南難納軟
は,波破派把覇
ばつ,末伐罰抜閥
ひつ,筆必泌匹払
ひん,品貧浜賓頻
ほん,本反品奔翻
まい,米妹毎枚埋
みょう,名明命苗妙
もん,文聞門問紋
よ,予余預与誉
よく,浴欲翌抑翼
らん,乱卵覧欄濫
れつ,列律劣烈裂
れん,練連廉恋錬
ろく,六緑働陸録
えき,駅役易液益疫
ぎょう,形行業仰凝暁
ぐ,工具求供愚虞
しゅく,宿祝縮叔淑粛
ぞく,族続財属俗賊
に,二児仁泥尼弐
ねん,年然念燃縁粘
はつ,発鉢髪伐罰抜
び,美鼻未備尾微
らい,来礼瀬頼雷塁
