a,あ,ア,亜
atsu,あつ,アツ,圧
iu,いう,イウ,誘
iki,いき,イキ,域
iku,いく,イク,育
kau,かう,カウ,耗
kattsu,かっ,カッ,合
gattsu,がっ,ガッ,合
gattsu,がつ,ガツ,月
kiku,きく,キク,菊
kya,きゃ,キャ,脚
gyuu,ぎゅう,ギュウ,牛
gyoku,ぎょく,ギョク,玉
kechi,けち,ケチ,結
getsu,げつ,ゲツ,月
sattsu,さっ,サッ,早
za,ざ,ザ,座
zattsu,ざつ,ザツ,雑
shyan,しゃん,シャン,上
jika,じか,ジカ,直
jiku,じく,ジク,軸
jittsu,じっ,ジッ,十
jyuttsu,じゅっ,ジュッ,十
suku,すく,スク,粛
sun,すん,スン,寸
sechi,せち,セチ,節
ze,ぜ,ゼ,是
zon,ぞん,ゾン,存
tattsu,たつ,タツ,達
cha,ちゃ,チャ,茶
chan,ちゃん,チャン,荘
jyuu,ぢゅう,ヂュウ,住
te,て,テ,稲
dei,でい,デイ,泥
deki,でき,デキ,条
nattsu,なっ,ナッ,納
niku,にく,ニク,肉
nichi,にち,ニチ,日
nya,にゃ,ニャ,若
nyaku,にゃく,ニャク,若
nu,ぬ,ヌ,怒
nei,ねい,ネイ,寧
netsu,ねつ,ネツ,熱
hattsu,はっ,ハッ,法
bachi,ばち,バチ,罰
hyaku,ひゃく,ヒャク,百
betsu,べつ,ベツ,別
hoku,ほく,ホク,北
hottsu,ほっ,ホッ,法
botchi,ぼち,ボチ,伐
botts,ぼっ,ボッ,坊
botsu,ぼつ,ボツ,没
maa,まあ,マア,麻
mitsu,みつ,ミツ,密
myaku,みゃく,ミャク,脈
metsu,めつ,メツ,滅
rii,りい,リイ,力
richi,りち,リチ,律
ryaku,りゃく,リャク,略
ryuku,りゅく,リュク,働
re,れ,レ,列
rekki,れっき,レッキ,歴
refu,れふ,レフ,猟
wai,わい,ワイ,賄
waku,わく,ワク,惑
ai,あい,アイ,愛哀
aku,あく,アク,悪握
ichi,いち,イチ,一壱
otsu,おつ,オツ,越乙
kichi,きち,キチ,吉詰
gyaku,ぎゃく,ギャク,逆虐
gin,ぎん,ギン,銀吟
kotsu,こつ,コツ,骨滑
goku,ごく,ゴク,極獄
shichi,しち,シチ,七質
jiki,じき,ジキ,食直
jittsu,じつ,ジツ,日実
jyuku,じゅく,ジュク,熟塾
jyutsu,じゅつ,ジュツ,術述
jyoku,じょく,ジョク,辱濁
zui,ずい,ズイ,随髄
se,せ,セ,世施
zetsu,ぜつ,ゼツ,絶舌
sotsu,そつ,ソツ,卒率
daku,だく,ダク,濁諾
datsu,だつ,ダツ,奪脱
chitsu,ちつ,チツ,秩窒
choku,ちょく,チョク,直勅
tsuu,つう,ツウ,通痛
de,で,デ,弟泥
totsu,とつ,トツ,凸突
don,どん,ドン,曇鈍
na,な,ナ,南納
nai,ない,ナイ,内泥
nyo,にょ,ニョ,女如
nyou,にょう,ニョウ,女尿
non,のん,ノン,音暖
hachi,はち,ハチ,八鉢
ba,ば,バ,馬婆
byaku,びゃく,ビャク,白百
butsu,ぶつ,ブツ,物仏
heki,へき,ヘキ,壁癖
hotsu,ほつ,ホツ,発払
maku,まく,マク,幕膜
matsu,まつ,マツ,末抹
motsu,もつ,モツ,物没
ra,ら,ラ,羅裸
riki,りき,リキ,力働
riku,りく,リク,六陸
reki,れき,レキ,歴暦
ron,ろん,ロン,乱論
wan,わん,ワン,湾腕
un,うん,ウン,雲運芸
o,お,オ,悪和汚
oku,おく,オク,屋億憶
kitsu,きつ,キツ,吉喫詰
kyoku,きょく,キョク,局曲極
gyo,ぎょ,ギョ,魚漁御
kuu,くう,クウ,空宮供
kutsu,くつ,クツ,屈掘堀
gun,ぐん,グン,軍郡群
zan,ざん,ザン,残惨暫
shutsu,しゅつ,シュツ,出卒率
ja,じゃ,ジャ,写蛇邪
suu,すう,スウ,数崇枢
zei,ぜい,ゼイ,説勢税
chaku,ちゃく,チャク,着著嫡
cho,ちょ,チョ,貯著緒
tsu,つ,ツ,子通都
tsui,つい,ツイ,対追墜
ton,とん,トン,団屯豚
doku,どく,ドク,読毒独
nyuu,にゅう,ニュウ,入乳柔
futsu,ふつ,フツ,仏払沸
bei,べい,ベイ,米皿塀
min,みん,ミン,明民眠
men,めん,メン,面綿免
mo,も,モ,模畝茂
moku,もく,モク,木目黙
ya,や,ヤ,夜野蛇
yui,ゆい,ユイ,由遺唯
