丁,*Onyomi: チョウ、テイ -> Readings: 2
万,*Onyomi: マン、バン -> Readings: 2
不,*Onyomi: フ、ブ -> Readings: 2
丙,*Onyomi: ヘイ -> Readings: 1
両,*Onyomi: リョウ -> Readings: 1
丹,*Onyomi: タン -> Readings: 1
乙,*Onyomi: オツ -> Readings: 1
了,*Onyomi: リョウ -> Readings: 1
予,*Onyomi: ヨ -> Readings: 1
亜,*Onyomi: ア -> Readings: 1
享,*Onyomi: キョウ -> Readings: 1
京,*Onyomi: キョウ、ケイ -> Readings: 2
亭,*Onyomi: テイ -> Readings: 1
仁,*Onyomi: ジン、ニ -> Readings: 2
介,*Onyomi: カイ -> Readings: 1
仙,*Onyomi: セン -> Readings: 1
令,*Onyomi: レイ -> Readings: 1
以,*Onyomi: イ -> Readings: 1
件,*Onyomi: ケン -> Readings: 1
伐,*Onyomi: バツ -> Readings: 1
伯,*Onyomi: ハク -> Readings: 1
佐,*Onyomi: サ -> Readings: 1
佳,*Onyomi: カ -> Readings: 1
依,*Onyomi: イ、エ -> Readings: 2
侯,*Onyomi: コウ -> Readings: 1
俊,*Onyomi: シュン -> Readings: 1
俗,*Onyomi: ゾク -> Readings: 1
信,*Onyomi: シン -> Readings: 1
俳,*Onyomi: ハイ -> Readings: 1
俸,*Onyomi: ホウ -> Readings: 1
個,*Onyomi: コ -> Readings: 1
倍,*Onyomi: バイ -> Readings: 1
倫,*Onyomi: リン -> Readings: 1
倹,*Onyomi: ケン -> Readings: 1
停,*Onyomi: テイ -> Readings: 1
偵,*Onyomi: テイ -> Readings: 1
偶,*Onyomi: グウ -> Readings: 1
傑,*Onyomi: ケツ -> Readings: 1
債,*Onyomi: サイ -> Readings: 1
像,*Onyomi: ゾウ -> Readings: 1
僕,*Onyomi: ボク -> Readings: 1
僚,*Onyomi: リョウ -> Readings: 1
僧,*Onyomi: ソウ -> Readings: 1
儀,*Onyomi: ギ -> Readings: 1
億,*Onyomi: オク -> Readings: 1
儒,*Onyomi: ジュ -> Readings: 1
克,*Onyomi: コク -> Readings: 1
児,*Onyomi: ジ、ニ -> Readings: 2
党,*Onyomi: トウ -> Readings: 1
兵,*Onyomi: ヘイ、ヒョウ -> Readings: 2
具,*Onyomi: グ -> Readings: 1
典,*Onyomi: テン -> Readings: 1
冊,*Onyomi: サツ、サク -> Readings: 2
冗,*Onyomi: ジョウ -> Readings: 1
准,*Onyomi: ジュン -> Readings: 1
凡,*Onyomi: ボン、ハン -> Readings: 2
処,*Onyomi: ショ -> Readings: 1
凶,*Onyomi: キョウ -> Readings: 1
凸,*Onyomi: トツ -> Readings: 1
凹,*Onyomi: オウ -> Readings: 1
刊,*Onyomi: カン -> Readings: 1
刑,*Onyomi: ケイ -> Readings: 1
列,*Onyomi: レツ -> Readings: 1
判,*Onyomi: ハン、バン -> Readings: 2
到,*Onyomi: トウ -> Readings: 1
制,*Onyomi: セイ -> Readings: 1
券,*Onyomi: ケン -> Readings: 1
則,*Onyomi: ソク -> Readings: 1
剖,*Onyomi: ボウ -> Readings: 1
剛,*Onyomi: ゴウ -> Readings: 1
剤,*Onyomi: ザイ -> Readings: 1
副,*Onyomi: フク -> Readings: 1
剰,*Onyomi: ジョウ -> Readings: 1
劇,*Onyomi: ゲキ -> Readings: 1
功,*Onyomi: コウ、ク -> Readings: 2
労,*Onyomi: ロウ -> Readings: 1
劾,*Onyomi: ガイ -> Readings: 1
勅,*Onyomi: チョク -> Readings: 1
勉,*Onyomi: ベン -> Readings: 1
勘,*Onyomi: カン -> Readings: 1
勲,*Onyomi: クン -> Readings: 1
匠,*Onyomi: ショウ -> Readings: 1
区,*Onyomi: ク -> Readings: 1
医,*Onyomi: イ -> Readings: 1
匿,*Onyomi: トク -> Readings: 1
午,*Onyomi: ゴ -> Readings: 1
卒,*Onyomi: ソツ -> Readings: 1
卓,*Onyomi: タク -> Readings: 1
協,*Onyomi: キョウ -> Readings: 1
単,*Onyomi: タン -> Readings: 1
博,*Onyomi: ハク、バク -> Readings: 2
即,*Onyomi: ソク -> Readings: 1
却,*Onyomi: キャク -> Readings: 1
厄,*Onyomi: ヤク -> Readings: 1
厘,*Onyomi: リン -> Readings: 1
叔,*Onyomi: シュク -> Readings: 1
叙,*Onyomi: ジョ -> Readings: 1
句,*Onyomi: ク -> Readings: 1
可,*Onyomi: カ -> Readings: 1
台,*Onyomi: ダイ、タイ -> Readings: 2
史,*Onyomi: シ -> Readings: 1
号,*Onyomi: ゴウ -> Readings: 1
司,*Onyomi: シ -> Readings: 1
吉,*Onyomi: キチ、キツ -> Readings: 2
后,*Onyomi: コウ -> Readings: 1
吏,*Onyomi: リ -> Readings: 1
吟,*Onyomi: ギン -> Readings: 1
呂,*Onyomi: ロ -> Readings: 1
呈,*Onyomi: テイ -> Readings: 1
呉,*Onyomi: ゴ -> Readings: 1
員,*Onyomi: イン -> Readings: 1
哲,*Onyomi: テツ -> Readings: 1
唯,*Onyomi: ユイ、イ -> Readings: 2
啓,*Onyomi: ケイ -> Readings: 1
喚,*Onyomi: カン -> Readings: 1
喝,*Onyomi: カツ -> Readings: 1
喫,*Onyomi: キツ -> Readings: 1
嗣,*Onyomi: シ -> Readings: 1
嘱,*Onyomi: ショク -> Readings: 1
嚇,*Onyomi: カク -> Readings: 1
囚,*Onyomi: シュウ -> Readings: 1
団,*Onyomi: ダン、トン -> Readings: 2
圏,*Onyomi: ケン -> Readings: 1
圧,*Onyomi: アツ -> Readings: 1
地,*Onyomi: チ、ジ -> Readings: 2
均,*Onyomi: キン -> Readings: 1
坊,*Onyomi: ボウ、ボッ -> Readings: 2
坑,*Onyomi: コウ -> Readings: 1
域,*Onyomi: イキ -> Readings: 1
堂,*Onyomi: ドウ -> Readings: 1
堕,*Onyomi: ダ -> Readings: 1
塀,*Onyomi: ヘイ -> Readings: 1
塁,*Onyomi: ルイ -> Readings: 1
塑,*Onyomi: ソ -> Readings: 1
塔,*Onyomi: トウ -> Readings: 1
塾,*Onyomi: ジュク -> Readings: 1
