丁,Onyomi*チョウ、テイ*2
万,Onyomi*マン、バン*2
不,Onyomi*フ、ブ*2
丙,Onyomi*ヘイ*1
両,Onyomi*リョウ*1
丹,Onyomi*タン*1
乙,Onyomi*オツ*1
了,Onyomi*リョウ*1
予,Onyomi*ヨ*1
亜,Onyomi*ア*1
享,Onyomi*キョウ*1
京,Onyomi*キョウ、ケイ*2
亭,Onyomi*テイ*1
仁,Onyomi*ジン、ニ*2
介,Onyomi*カイ*1
仙,Onyomi*セン*1
令,Onyomi*レイ*1
以,Onyomi*イ*1
件,Onyomi*ケン*1
伐,Onyomi*バツ*1
伯,Onyomi*ハク*1
佐,Onyomi*サ*1
佳,Onyomi*カ*1
依,Onyomi*イ、エ*2
侯,Onyomi*コウ*1
俊,Onyomi*シュン*1
俗,Onyomi*ゾク*1
信,Onyomi*シン*1
俳,Onyomi*ハイ*1
俸,Onyomi*ホウ*1
個,Onyomi*コ*1
倍,Onyomi*バイ*1
倫,Onyomi*リン*1
倹,Onyomi*ケン*1
停,Onyomi*テイ*1
偵,Onyomi*テイ*1
偶,Onyomi*グウ*1
傑,Onyomi*ケツ*1
債,Onyomi*サイ*1
像,Onyomi*ゾウ*1
僕,Onyomi*ボク*1
僚,Onyomi*リョウ*1
僧,Onyomi*ソウ*1
儀,Onyomi*ギ*1
億,Onyomi*オク*1
儒,Onyomi*ジュ*1
克,Onyomi*コク*1
児,Onyomi*ジ、ニ*2
党,Onyomi*トウ*1
兵,Onyomi*ヘイ、ヒョウ*2
具,Onyomi*グ*1
典,Onyomi*テン*1
冊,Onyomi*サツ、サク*2
冗,Onyomi*ジョウ*1
准,Onyomi*ジュン*1
凡,Onyomi*ボン、ハン*2
処,Onyomi*ショ*1
凶,Onyomi*キョウ*1
凸,Onyomi*トツ*1
凹,Onyomi*オウ*1
刊,Onyomi*カン*1
刑,Onyomi*ケイ*1
列,Onyomi*レツ*1
判,Onyomi*ハン、バン*2
到,Onyomi*トウ*1
制,Onyomi*セイ*1
券,Onyomi*ケン*1
則,Onyomi*ソク*1
剖,Onyomi*ボウ*1
剛,Onyomi*ゴウ*1
剤,Onyomi*ザイ*1
副,Onyomi*フク*1
剰,Onyomi*ジョウ*1
劇,Onyomi*ゲキ*1
功,Onyomi*コウ、ク*2
労,Onyomi*ロウ*1
劾,Onyomi*ガイ*1
勅,Onyomi*チョク*1
勉,Onyomi*ベン*1
勘,Onyomi*カン*1
勲,Onyomi*クン*1
匠,Onyomi*ショウ*1
区,Onyomi*ク*1
医,Onyomi*イ*1
匿,Onyomi*トク*1
午,Onyomi*ゴ*1
卒,Onyomi*ソツ*1
卓,Onyomi*タク*1
協,Onyomi*キョウ*1
単,Onyomi*タン*1
博,Onyomi*ハク、バク*2
即,Onyomi*ソク*1
却,Onyomi*キャク*1
厄,Onyomi*ヤク*1
厘,Onyomi*リン*1
叔,Onyomi*シュク*1
叙,Onyomi*ジョ*1
句,Onyomi*ク*1
可,Onyomi*カ*1
台,Onyomi*ダイ、タイ*2
史,Onyomi*シ*1
号,Onyomi*ゴウ*1
司,Onyomi*シ*1
吉,Onyomi*キチ、キツ*2
后,Onyomi*コウ*1
吏,Onyomi*リ*1
吟,Onyomi*ギン*1
呂,Onyomi*ロ*1
呈,Onyomi*テイ*1
呉,Onyomi*ゴ*1
員,Onyomi*イン*1
哲,Onyomi*テツ*1
唯,Onyomi*ユイ、イ*2
啓,Onyomi*ケイ*1
喚,Onyomi*カン*1
喝,Onyomi*カツ*1
喫,Onyomi*キツ*1
嗣,Onyomi*シ*1
嘱,Onyomi*ショク*1
嚇,Onyomi*カク*1
囚,Onyomi*シュウ*1
団,Onyomi*ダン、トン*2
圏,Onyomi*ケン*1
圧,Onyomi*アツ*1
地,Onyomi*チ、ジ*2
均,Onyomi*キン*1
坊,Onyomi*ボウ、ボッ*2
坑,Onyomi*コウ*1
域,Onyomi*イキ*1
堂,Onyomi*ドウ*1
堕,Onyomi*ダ*1
塀,Onyomi*ヘイ*1
塁,Onyomi*ルイ*1
塑,Onyomi*ソ*1
塔,Onyomi*トウ*1
塾,Onyomi*ジュク*1
墜,Onyomi*ツイ*1
墳,Onyomi*フン*1
墾,Onyomi*コン*1
壇,Onyomi*ダン、タン*2
壌,Onyomi*ジョウ*1
士,Onyomi*シ*1
壮,Onyomi*ソウ*1
壱,Onyomi*イチ*1
央,Onyomi*オウ*1
奇,Onyomi*キ*1
奈,Onyomi*ナ*1
奔,Onyomi*ホン*1
奨,Onyomi*ショウ*1
奴,Onyomi*ド*1
如,Onyomi*ジョ、ニョ*2
妃,Onyomi*ヒ*1
妄,Onyomi*モウ、ボウ*2
妊,Onyomi*ニン*1
妙,Onyomi*ミョウ*1
妥,Onyomi*ダ*1
姓,Onyomi*セイ、ショウ*2
姻,Onyomi*イン*1
威,Onyomi*イ*1
娠,Onyomi*シン*1
娯,Onyomi*ゴ*1
婆,Onyomi*バ*1
婚,Onyomi*コン*1
婦,Onyomi*フ*1
媒,Onyomi*バイ*1
媛,Onyomi*エン*1
嫡,Onyomi*チャク*1
嬢,Onyomi*ジョウ*1
孔,Onyomi*コウ*1
存,Onyomi*ソン、ゾン*2
孝,Onyomi*コウ*1
季,Onyomi*キ*1
孤,Onyomi*コ*1
宅,Onyomi*タク*1
宇,Onyomi*ウ*1
完,Onyomi*カン*1
宗,Onyomi*シュウ、ソウ*2
官,Onyomi*カン*1
宙,Onyomi*チュウ*1
宜,Onyomi*ギ*1
客,Onyomi*キャク、カク*2
宣,Onyomi*セン*1
宰,Onyomi*サイ*1
害,Onyomi*ガイ*1
宴,Onyomi*エン*1
容,Onyomi*ヨウ*1
密,Onyomi*ミツ*1
寛,Onyomi*カン*1
察,Onyomi*サツ*1
寡,Onyomi*カ*1
寧,Onyomi*ネイ*1
審,Onyomi*シン*1
寮,Onyomi*リョウ*1
寸,Onyomi*スン*1
対,Onyomi*タイ、ツイ*2
封,Onyomi*フウ、ホウ*2
将,Onyomi*ショウ*1
尉,Onyomi*イ*1
尚,Onyomi*ショウ*1
尺,Onyomi*シャク*1
尿,Onyomi*ニョウ*1
局,Onyomi*キョク*1
屈,Onyomi*クツ*1
展,Onyomi*テン*1
属,Onyomi*ゾク*1
層,Onyomi*ソウ*1
屯,Onyomi*トン*1
岐,Onyomi*キ*1
峡,Onyomi*キョウ*1
崇,Onyomi*スウ*1
工,Onyomi*コウ、ク*2
巨,Onyomi*キョ*1
希,Onyomi*キ*1
帝,Onyomi*テイ*1
帥,Onyomi*スイ*1
師,Onyomi*シ*1
席,Onyomi*セキ*1
帳,Onyomi*チョウ*1
帽,Onyomi*ボウ*1
幕,Onyomi*マク、バク*2
幣,Onyomi*ヘイ*1
幽,Onyomi*ユウ*1
庁,Onyomi*チョウ*1
序,Onyomi*ジョ*1
府,Onyomi*フ*1
庫,Onyomi*コ、ク*2
庶,Onyomi*ショ*1
康,Onyomi*コウ*1
庸,Onyomi*ヨウ*1
廉,Onyomi*レン*1
廊,Onyomi*ロウ*1
廷,Onyomi*テイ*1
弊,Onyomi*ヘイ*1
式,Onyomi*シキ*1
弐,Onyomi*ニ*1
弧,Onyomi*コ*1
彰,Onyomi*ショウ*1
役,Onyomi*ヤク、エキ*2
往,Onyomi*オウ*1
征,Onyomi*セイ*1
径,Onyomi*ケイ*1
律,Onyomi*リツ、リチ*2
徐,Onyomi*ジョ*1
徒,Onyomi*ト*1
復,Onyomi*フク*1
循,Onyomi*ジュン*1
微,Onyomi*ビ*1
徳,Onyomi*トク*1
徴,Onyomi*チョウ*1
徹,Onyomi*テツ*1
