ア,亜吾
アイ,哀愛
アク,悪握
アツ,圧
アン,安案暗
イ,以位衣依委威慰尉意易異唯胃為移維遺違緯偉医囲
イキ,域
イク,育
イチ,一壱
イツ,一逸
イン,印引因姻院陰隠音員韻飲
ウ,右有宇雨羽
ウン,運雲
エ,会依回恵絵
エイ,営影映英栄永泳詠衛鋭
エキ,液疫役易益駅
エツ,悦閲謁越
エン,円園塩媛援宴延怨沿演炎煙猿遠縁艶鉛
オ,和悪汚
オウ,凹央奥往応押桜横欧殴王皇翁黄
オク,億憶屋
オツ,乙
オン,怨恩温穏遠音
カ,下仮何佳価加化可夏嫁家寡暇果課架河渦歌禍過火科稼箇花荷菓華貨靴
カイ,介会回塊快怪悔壊懐戒拐改械海灰界皆階絵街解開
カク,各格客嚇拡核殻獲画確穫覚角較郭閣隔革
カツ,割轄括活喝渇褐滑
カン,乾冠刊勘勧喚堪完官棺寒寛巻干汗幹患感憾慣換敢款歓漢環甘甲監看管簡緩缶肝艦観貫還鑑閑間関陥韓館
ガ,我牙瓦画芽賀雅餓
ガイ,劾該外害慨概涯街
ガク,学岳楽額
ガッ,合
ガツ,月
ガン,丸元含岩岸眼頑顔願
キ,亀企危喜器基奇寄季岐希帰幾揮旗軌輝既期机棄棋機気汽祈規貴己忌紀記起飢騎鬼
キク,菊
キチ,吉
キツ,吉喫詰
キャ,脚
キャク,却客脚
キュウ,丘久九休及級吸宮弓急救旧朽泣球求究窮糾給
キョ,去居巨拒距拠挙虚許
キョウ,享京供兄共凶叫峡強恐恭況狂狭矯橋境挟教競経胸脅協興香鏡郷響驚
キョク,局曲極
キン,今金近斤均勤琴筋緊菌禁襟謹錦
ギ,偽宜技欺戯儀擬犠疑義議
ギャク,虐逆
ギュウ,牛
ギョ,御漁魚
ギョウ,仰凝形暁業行
ギョク,玉
ギン,吟銀
ク,久九工供功区口句庫紅苦貢駆
クウ,空
クツ,屈掘
クン,君訓勲薫
グ,具愚
グウ,偶宮遇隅
グン,群軍郡
ケ,仮化家懸気華
ケイ,京係兄刑傾憩掲景啓型境契形径恵慶携敬渓競系経継茎蛍計軽警鶏
ケツ,傑欠決潔穴結血
ケン,件倹健建兼嫌券剣圏堅憲懸検権犬献研県肩見顕絹繭謙賢軒遣間険験
ゲ,下夏外牙解
ゲイ,芸迎鯨
ゲキ,劇撃激
ゲツ,月
ゲン,元原厳嫌幻弦減源玄言現眼限験
コ,個固古故枯湖去呼孤己庫弧拠虎虚誇戸雇顧鼓
コウ,交仰侯候光公功効厚口后向坑好孔孝工巧幸広康後恒慌抗拘控攻更校格江洪港甲皇硬稿高紅絞綱考耕耗肯興航荒行衡構溝講購黄貢郊酵鉱鋼降項香
コク,克刻告国穀谷酷黒
コツ,滑骨
コン,今困墾婚建恨懇根混昆献紺金魂
ゴ,互五午呉誤娯後御悟期碁語護
ゴウ,剛号合強拷業豪郷
ゴク,極獄
ゴン,勤厳権言
サ,佐左差砂作詐再唆査茶鎖
サイ,催債再切妻宰彩才採済斎最殺災砕祭細菜栽歳裁西財載際
サク,作昨搾策索冊削酢錯
サッ,早
サツ,冊刷察撮擦札殺
サン,三傘参惨山散桟産算蚕賛酸
ザ,座
ザイ,剤在材罪財
ザツ,雑
ザン,惨暫残
シ,仕使刺史司伺詞飼嗣姉始四士姿子市師支施枝次思志誌止歯死氏紙糸紫矢示祉私肢指脂旨自至視試詩諮資賜雌
シキ,式色織識
シチ,七質
シツ,執失室湿漆疾質
シャ,写射謝舎捨者煮遮斜砂社赦車
シャク,借昔尺釈爵石赤酌
シュ,主修取守手朱殊珠狩種衆趣酒首
シュウ,修収周週囚執宗就愁秋拾秀終習臭舟衆袖襲集粛叔淑宿縮祝祝州酬醜
シュツ,出
シュン,俊旬春瞬
ショ,処初庶所暑書署緒諸
ショウ,上井傷償勝匠升商声姓宵将奨尚床彰従性承小少抄掌政昇唱昌星晶松正清渉焦焼照生症相省消硝礁祥称章笑粧精肖衝装訟証招召沼昭詔紹詳象賞鐘障青
ショク,植殖織職食飾色触嘱
